smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,failure,prediction
0.0,71637.0,0.0,0.0,0.0,0.0,0,0
0.0,23017.0,0.0,0.0,0.0,0.0,0,0
0.0,40780.0,0.0,0.0,0.0,0.0,0,0
0.0,50828.0,0.0,0.0,0.0,0.0,0,0
141.0,39358.0,0.0,0.0,109.0,122.0,0,1
0.0,59157.0,0.0,0.0,0.0,0.0,0,0
0.0,72189.0,0.0,1.0,0.0,0.0,0,0
0.0,39158.0,0.0,0.0,0.0,0.0,0,0
0.0,10533.0,0.0,0.0,1.0,2.0,0,0
8.0,73895.0,0.0,0.0,0.0,0.0,0,0
0.0,40555.0,0.0,0.0,0.0,0.0,0,0
0.0,3266.0,0.0,0.0,0.0,0.0,0,0
0.0,43197.0,0.0,0.0,0.0,0.0,0,0
0.0,49148.0,0.0,0.0,0.0,0.0,0,0
0.0,39625.0,0.0,0.0,0.0,0.0,0,0
0.0,48109.0,0.0,0.0,0.0,0.0,0,0
0.0,72255.0,0.0,0.0,0.0,0.0,0,0
0.0,71013.0,0.0,0.0,0.0,0.0,0,0
0.0,41366.0,0.0,0.0,0.0,0.0,0,0
0.0,75.0,0.0,0.0,0.0,0.0,0,0
0.0,71604.0,0.0,0.0,0.0,0.0,0,0
160.0,76357.0,6.0,0.0,8.0,8.0,0,0
0.0,39868.0,0.0,0.0,0.0,0.0,0,0
0.0,76337.0,0.0,0.0,0.0,0.0,0,0
0.0,43251.0,0.0,0.0,0.0,0.0,0,0
0.0,3129.0,0.0,0.0,0.0,0.0,0,0
0.0,49050.0,0.0,0.0,0.0,0.0,0,0
0.0,72791.0,0.0,0.0,0.0,0.0,0,0
8.0,143.0,0.0,0.0,0.0,0.0,0,0
0.0,51329.0,0.0,0.0,0.0,0.0,0,0
0.0,51320.0,0.0,8590065666.0,0.0,0.0,0,0
0.0,49201.0,0.0,0.0,0.0,0.0,0,0
0.0,34185.0,0.0,0.0,0.0,0.0,0,0
0.0,73889.0,0.0,0.0,0.0,0.0,0,0
0.0,43189.0,0.0,0.0,0.0,0.0,0,0
0.0,40667.0,0.0,0.0,0.0,0.0,0,0
104.0,802.0,0.0,1.0,0.0,0.0,0,0
0.0,3177.0,0.0,0.0,0.0,0.0,0,0
0.0,43285.0,0.0,0.0,0.0,0.0,0,0
0.0,71592.0,0.0,0.0,0.0,0.0,0,0
0.0,51287.0,0.0,0.0,0.0,0.0,0,0
8.0,2510.0,7.0,0.0,24.0,24.0,0,0
0.0,75116.0,0.0,0.0,0.0,0.0,0,0
0.0,43627.0,0.0,0.0,0.0,0.0,0,0
0.0,49465.0,0.0,0.0,0.0,0.0,0,0
0.0,43245.0,0.0,0.0,0.0,0.0,0,0
0.0,72303.0,0.0,1.0,0.0,0.0,0,0
0.0,23987.0,0.0,0.0,680.0,79.0,0,1
0.0,40260.0,0.0,0.0,0.0,0.0,0,0
0.0,38780.0,0.0,0.0,0.0,0.0,0,0
0.0,39604.0,0.0,0.0,0.0,0.0,0,0
0.0,41465.0,0.0,0.0,0.0,0.0,0,0
0.0,10317.0,0.0,0.0,0.0,0.0,0,0
0.0,1699.0,0.0,0.0,0.0,0.0,0,0
0.0,3048.0,0.0,0.0,0.0,0.0,0,0
312.0,3868.0,0.0,0.0,0.0,0.0,0,0
0.0,51338.0,0.0,0.0,0.0,0.0,0,0
0.0,73043.0,0.0,0.0,0.0,0.0,0,0
16.0,75149.0,0.0,0.0,0.0,0.0,0,0
0.0,76266.0,0.0,0.0,0.0,0.0,0,0
0.0,3054.0,0.0,0.0,0.0,0.0,0,0
0.0,48102.0,0.0,0.0,0.0,0.0,0,0
0.0,48149.0,0.0,0.0,0.0,0.0,0,0
0.0,43541.0,0.0,0.0,0.0,0.0,0,0
0.0,77560.0,0.0,0.0,0.0,0.0,0,0
0.0,74850.0,0.0,0.0,0.0,0.0,0,0
0.0,2300.0,6.0,0.0,0.0,0.0,0,0
